Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
CORSE,CORSE-DU-SUD,2A004,AJACCIO,191.0,2382146.0,10964.0,ificom-2022.xlsx,2022.0,41.9347926638,8.70132275974,2094124.0
CORSE,CORSE-DU-SUD,2A004,AJACCIO,191.0,2382146.0,10964.0,ificom-2022.xlsx,2022.0,41.9347926638,8.70132275974,2094124.0
CORSE,CORSE-DU-SUD,2A004,AJACCIO,191.0,2382146.0,10964.0,ificom-2022.xlsx,2022.0,41.9347926638,8.70132275974,2094124.0
GRAND-EST,HAUT-RHIN,68066,COLMAR,94.0,2376246.0,11295.0,ificom-2022.xlsx,2022.0,48.1099405789,7.38468690323,1061730.0
ILE-DE-FRANCE,VAL-D'OISE,95428,MONTMORENCY,137.0,2368405.0,10204.0,ificom-2022.xlsx,2022.0,48.9918643363,2.32119797848,1397948.0
LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART,92.0,2360265.0,9299.0,ificom-2022.xlsx,2022.0,50.6522053005,3.02491174276,855508.0
ILE-DE-FRANCE,SEINE-SAINT-DENIS,93051,NOISY LE GRAND,64.0,2351088.0,9794.0,ificom-2022.xlsx,2022.0,48.8361825401,2.56443736814,626816.0
NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,1867.0,2347174.0,10229.0,ificom-2022.xlsx,2022.0,44.8572445351,-0.57369678116,19097543.0
NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,1867.0,2347174.0,10229.0,ificom-2022.xlsx,2022.0,44.8572445351,-0.57369678116,19097543.0
NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,1867.0,2347174.0,10229.0,ificom-2022.xlsx,2022.0,44.8572445351,-0.57369678116,19097543.0
NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,1867.0,2347174.0,10229.0,ificom-2022.xlsx,2022.0,44.8572445351,-0.57369678116,19097543.0
NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,1867.0,2347174.0,10229.0,ificom-2022.xlsx,2022.0,44.8572445351,-0.57369678116,19097543.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06123,SAINT LAURENT DU VAR,87.0,2342226.0,10307.0,ificom-2022.xlsx,2022.0,43.6859625772,7.18218791815,896709.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92046,MALAKOFF,88.0,2339674.0,9523.0,ificom-2022.xlsx,2022.0,48.8169695977,2.29693599517,838024.0
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,96.0,2337133.0,10689.0,ificom-2022.xlsx,2022.0,48.4471464884,1.50570610616,1026144.0
BRETAGNE,FINISTERE,29232,QUIMPER,53.0,2334000.0,10441.0,ificom-2022.xlsx,2022.0,47.9971425162,-4.09111944455,553373.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92044,LEVALLOIS-PERRET,732.0,2332997.0,9423.0,ificom-2022.xlsx,2022.0,48.895071672,2.28688268127,6897636.0
LES-HAUTS-DE-FRANCE,NORD,59378,MARCQ EN BAROEUL,288.0,2319071.0,8630.0,ificom-2022.xlsx,2022.0,50.6753348557,3.10093583816,2485440.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022.0,43.5360708378,5.39857444582,9368280.0
GRAND-EST,HAUT-RHIN,68224,MULHOUSE,90.0,2317745.0,10136.0,ificom-2022.xlsx,2022.0,47.749163303,7.32570047509,912240.0
GRAND-EST,HAUT-RHIN,68224,MULHOUSE,90.0,2317745.0,10136.0,ificom-2022.xlsx,2022.0,47.749163303,7.32570047509,912240.0
GRAND-EST,HAUT-RHIN,68224,MULHOUSE,90.0,2317745.0,10136.0,ificom-2022.xlsx,2022.0,47.749163303,7.32570047509,912240.0
GRAND-EST,HAUT-RHIN,68224,MULHOUSE,90.0,2317745.0,10136.0,ificom-2022.xlsx,2022.0,47.749163303,7.32570047509,912240.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE,186.0,2317703.0,9888.0,ificom-2022.xlsx,2022.0,48.7799073627,2.31643010763,1839168.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,1313.0,2315155.0,9539.0,ificom-2022.xlsx,2022.0,43.5963814303,1.43167293364,12524707.0
NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES,149.0,2314909.0,10543.0,ificom-2022.xlsx,2022.0,45.8542549589,1.2487579024,1570907.0
NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES,149.0,2314909.0,10543.0,ificom-2022.xlsx,2022.0,45.8542549589,1.2487579024,1570907.0
NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES,149.0,2314909.0,10543.0,ificom-2022.xlsx,2022.0,45.8542549589,1.2487579024,1570907.0
NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES,149.0,2314909.0,10543.0,ificom-2022.xlsx,2022.0,45.8542549589,1.2487579024,1570907.0
NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES,149.0,2314909.0,10543.0,ificom-2022.xlsx,2022.0,45.8542549589,1.2487579024,1570907.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92012,BOULOGNE BILLANCOURT,2118.0,2313297.0,9422.0,ificom-2022.xlsx,2022.0,48.8365843138,2.23913599058,19955796.0
OCCITANIE,HAUTE-GARONNE,31557,TOURNEFEUILLE,72.0,2312984.0,9890.0,ificom-2022.xlsx,2022.0,43.5781918597,1.33500697752,712080.0
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,405.0,2309024.0,9546.0,ificom-2022.xlsx,2022.0,43.4695847227,-1.55309857519,3866130.0
AUVERGNE-RHONE-ALPES,RHONE,69202,STE FOY LES LYON,210.0,2307658.0,9841.0,ificom-2022.xlsx,2022.0,45.7359781395,4.79343173908,2066610.0
ILE-DE-FRANCE,YVELINES,78646,VERSAILLES,1488.0,2304291.0,8441.0,ificom-2022.xlsx,2022.0,48.8025669671,2.11789297191,12560208.0
LES-HAUTS-DE-FRANCE,NORD,59163,CROIX,111.0,2295986.0,7722.0,ificom-2022.xlsx,2022.0,50.6740689994,3.15464041723,857142.0
GRAND-EST,MOSELLE,57672,THIONVILLE,67.0,2295044.0,10839.0,ificom-2022.xlsx,2022.0,49.3759716201,6.12928314217,726213.0
GRAND-EST,MOSELLE,57672,THIONVILLE,67.0,2295044.0,10839.0,ificom-2022.xlsx,2022.0,49.3759716201,6.12928314217,726213.0
GRAND-EST,MOSELLE,57672,THIONVILLE,67.0,2295044.0,10839.0,ificom-2022.xlsx,2022.0,49.3759716201,6.12928314217,726213.0
GRAND-EST,MOSELLE,57672,THIONVILLE,67.0,2295044.0,10839.0,ificom-2022.xlsx,2022.0,49.3759716201,6.12928314217,726213.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES,405.0,2293332.0,9231.0,ificom-2022.xlsx,2022.0,48.9153530123,2.2880384663,3738555.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,1099.0,2292473.0,9838.0,ificom-2022.xlsx,2022.0,47.2316356767,-1.54831008605,10811962.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,1099.0,2292473.0,9838.0,ificom-2022.xlsx,2022.0,47.2316356767,-1.54831008605,10811962.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,1099.0,2292473.0,9838.0,ificom-2022.xlsx,2022.0,47.2316356767,-1.54831008605,10811962.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,1099.0,2292473.0,9838.0,ificom-2022.xlsx,2022.0,47.2316356767,-1.54831008605,10811962.0
CORSE,HAUTE-CORSE,2B033,BASTIA,62.0,2292098.0,10467.0,ificom-2022.xlsx,2022.0,42.6864768806,9.42502133338,648954.0
CORSE,HAUTE-CORSE,2B033,BASTIA,62.0,2292098.0,10467.0,ificom-2022.xlsx,2022.0,42.6864768806,9.42502133338,648954.0
CORSE,HAUTE-CORSE,2B033,BASTIA,62.0,2292098.0,10467.0,ificom-2022.xlsx,2022.0,42.6864768806,9.42502133338,648954.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022.0,43.587465146,7.10635418256,4245264.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022.0,43.587465146,7.10635418256,4245264.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022.0,43.587465146,7.10635418256,4245264.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022.0,43.587465146,7.10635418256,4245264.0
CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,176.0,2291263.0,9533.0,ificom-2022.xlsx,2022.0,47.8828634214,1.91610357477,1677808.0
CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,176.0,2291263.0,9533.0,ificom-2022.xlsx,2022.0,47.8828634214,1.91610357477,1677808.0
CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,176.0,2291263.0,9533.0,ificom-2022.xlsx,2022.0,47.8828634214,1.91610357477,1677808.0
ILE-DE-FRANCE,PARIS,75115,PARIS 15e,3602.0,2291263.0,9442.0,ificom-2022.xlsx,2022.0,48.8401554186,2.29355937244,34010084.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44026,CARQUEFOU,58.0,2291033.0,9854.0,ificom-2022.xlsx,2022.0,47.3017191833,-1.47277200095,571532.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44184,ST NAZAIRE,71.0,2284011.0,9248.0,ificom-2022.xlsx,2022.0,47.2802857028,-2.25379927249,656608.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44184,ST NAZAIRE,71.0,2284011.0,9248.0,ificom-2022.xlsx,2022.0,47.2802857028,-2.25379927249,656608.0
GRAND-EST,MOSELLE,57463,METZ,134.0,2280630.0,9379.0,ificom-2022.xlsx,2022.0,49.1081133279,6.1955245421,1256786.0
GRAND-EST,MOSELLE,57463,METZ,134.0,2280630.0,9379.0,ificom-2022.xlsx,2022.0,49.1081133279,6.1955245421,1256786.0
GRAND-EST,MOSELLE,57463,METZ,134.0,2280630.0,9379.0,ificom-2022.xlsx,2022.0,49.1081133279,6.1955245421,1256786.0
NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,282.0,2280552.0,9076.0,ificom-2022.xlsx,2022.0,44.5561823053,-1.17530826791,2559432.0
NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,282.0,2280552.0,9076.0,ificom-2022.xlsx,2022.0,44.5561823053,-1.17530826791,2559432.0
NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,282.0,2280552.0,9076.0,ificom-2022.xlsx,2022.0,44.5561823053,-1.17530826791,2559432.0
NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,282.0,2280552.0,9076.0,ificom-2022.xlsx,2022.0,44.5561823053,-1.17530826791,2559432.0
ILE-DE-FRANCE,PARIS,75109,PARIS 9e,1403.0,2278963.0,9133.0,ificom-2022.xlsx,2022.0,48.8768961624,2.33746024139,12813599.0
AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,175.0,2275227.0,9034.0,ificom-2022.xlsx,2022.0,45.1821215167,5.72133051752,1580950.0
AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,175.0,2275227.0,9034.0,ificom-2022.xlsx,2022.0,45.1821215167,5.72133051752,1580950.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06085,MOUGINS,269.0,2274836.0,10156.0,ificom-2022.xlsx,2022.0,43.5961410556,7.00129444919,2731964.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06088,NICE,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022.0,43.7119992661,7.23826889465,13104824.0
PAYS DE LA LOIRE,VENDEE,85047,CHALLANS,54.0,2269019.0,10195.0,ificom-2022.xlsx,2022.0,46.8354416653,-1.84036683139,550530.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,161.0,2266062.0,8512.0,ificom-2022.xlsx,2022.0,43.6715162078,7.15275703379,1370432.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,161.0,2266062.0,8512.0,ificom-2022.xlsx,2022.0,43.6715162078,7.15275703379,1370432.0
PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,71.0,2264449.0,8403.0,ificom-2022.xlsx,2022.0,44.5798600596,6.06486052138,596613.0
PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,71.0,2264449.0,8403.0,ificom-2022.xlsx,2022.0,44.5798600596,6.06486052138,596613.0
OCCITANIE,HERAULT,34032,BEZIERS,88.0,2262229.0,10498.0,ificom-2022.xlsx,2022.0,43.3475883319,3.23076754164,923824.0
AUVERGNE-RHONE-ALPES,RHONE,69266,VILLEURBANNE,89.0,2261237.0,9103.0,ificom-2022.xlsx,2022.0,45.7707704179,4.88845817426,810167.0
BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022.0,48.6400443482,-1.98060627256,2363340.0
BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022.0,48.6400443482,-1.98060627256,2363340.0
BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022.0,48.6400443482,-1.98060627256,2363340.0
BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022.0,48.6400443482,-1.98060627256,2363340.0
BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022.0,48.6400443482,-1.98060627256,2363340.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13055,MARSEILLE,1660.0,2259013.0,9054.0,ificom-2022.xlsx,2022.0,,,15029640.0
NORMANDIE,CALVADOS,14118,CAEN,235.0,2255639.0,9789.0,ificom-2022.xlsx,2022.0,49.1847936737,-0.369801713036,2300415.0
ILE-DE-FRANCE,PARIS,75111,PARIS 11e,1275.0,2249877.0,8816.0,ificom-2022.xlsx,2022.0,48.8594154976,2.37874106024,11240400.0
ILE-DE-FRANCE,VAL-DE-MARNE,94068,SAINT MAUR DES FOSSES,805.0,2249083.0,9264.0,ificom-2022.xlsx,2022.0,48.7990677797,2.49386450452,7457520.0
ILE-DE-FRANCE,VAL-DE-MARNE,94068,SAINT MAUR DES FOSSES,805.0,2249083.0,9264.0,ificom-2022.xlsx,2022.0,48.7990677797,2.49386450452,7457520.0
NOUVELLE-AQUITAINE,GIRONDE,33449,SAINT-MEDARD-EN-JALLES,58.0,2248769.0,9611.0,ificom-2022.xlsx,2022.0,44.8832620816,-0.784239883546,557438.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON,112.0,2246086.0,9911.0,ificom-2022.xlsx,2022.0,48.8034091756,2.28799131883,1110032.0
ILE-DE-FRANCE,YVELINES,78551,SAINT-GERMAIN-EN-LAYE,688.0,2246020.0,8564.0,ificom-2022.xlsx,2022.0,48.9407041394,2.09870929375,5892032.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92063,RUEIL MALMAISON,808.0,2244483.0,8509.0,ificom-2022.xlsx,2022.0,48.8691897371,2.1773406315,6875272.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92063,RUEIL MALMAISON,808.0,2244483.0,8509.0,ificom-2022.xlsx,2022.0,48.8691897371,2.1773406315,6875272.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13103,SALON DE PROVENCE,68.0,2243553.0,9623.0,ificom-2022.xlsx,2022.0,43.6462885238,5.06814649576,654364.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92071,SCEAUX,403.0,2240038.0,8937.0,ificom-2022.xlsx,2022.0,48.776816369,2.29529414514,3601611.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92062,PUTEAUX,160.0,2236466.0,9574.0,ificom-2022.xlsx,2022.0,48.8837094969,2.23834178314,1531840.0
ILE-DE-FRANCE,ESSONNE,91114,BRUNOY,64.0,2234966.0,9753.0,ificom-2022.xlsx,2022.0,48.6964396294,2.50394753271,624192.0
ILE-DE-FRANCE,PARIS,75112,PARIS 12e,1269.0,2230613.0,8981.0,ificom-2022.xlsx,2022.0,48.8351562307,2.41980703497,11396889.0
NOUVELLE-AQUITAINE,GIRONDE,33522,TALENCE,107.0,2230194.0,9679.0,ificom-2022.xlsx,2022.0,44.8060817507,-0.591124592873,1035653.0
NOUVELLE-AQUITAINE,GIRONDE,33318,PESSAC,132.0,2229603.0,8621.0,ificom-2022.xlsx,2022.0,44.7915990521,-0.676303166277,1137972.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06155,VALLAURIS,161.0,2228119.0,9454.0,ificom-2022.xlsx,2022.0,43.5766472999,7.05836612893,1522094.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06155,VALLAURIS,161.0,2228119.0,9454.0,ificom-2022.xlsx,2022.0,43.5766472999,7.05836612893,1522094.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE,123.0,2224910.0,9436.0,ificom-2022.xlsx,2022.0,43.655639428,6.93190508233,1160628.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE,123.0,2224910.0,9436.0,ificom-2022.xlsx,2022.0,43.655639428,6.93190508233,1160628.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE,123.0,2224910.0,9436.0,ificom-2022.xlsx,2022.0,43.655639428,6.93190508233,1160628.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE,123.0,2224910.0,9436.0,ificom-2022.xlsx,2022.0,43.655639428,6.93190508233,1160628.0
ILE-DE-FRANCE,PARIS,75120,PARIS 20e,599.0,2216894.0,8527.0,ificom-2022.xlsx,2022.0,48.8631867774,2.40081982673,5107673.0
PAYS DE LA LOIRE,SARTHE,72181,LE MANS,173.0,2216505.0,9133.0,ificom-2022.xlsx,2022.0,47.9885256718,0.200030493539,1580009.0
PAYS DE LA LOIRE,SARTHE,72181,LE MANS,173.0,2216505.0,9133.0,ificom-2022.xlsx,2022.0,47.9885256718,0.200030493539,1580009.0
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,144.0,2208999.0,9090.0,ificom-2022.xlsx,2022.0,43.4922254016,-1.46607674358,1308960.0
PROVENCE-ALPES-COTE D'AZUR,VAR,83137,TOULON,257.0,2208321.0,8917.0,ificom-2022.xlsx,2022.0,43.1361589728,5.93239634249,2291669.0
PROVENCE-ALPES-COTE D'AZUR,VAR,83137,TOULON,257.0,2208321.0,8917.0,ificom-2022.xlsx,2022.0,43.1361589728,5.93239634249,2291669.0
PROVENCE-ALPES-COTE D'AZUR,VAR,83137,TOULON,257.0,2208321.0,8917.0,ificom-2022.xlsx,2022.0,43.1361589728,5.93239634249,2291669.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
LA REUNION,LA REUNION,97415,SAINT PAUL,208.0,2205636.0,9531.0,ificom-2022.xlsx,2022.0,-21.0445317522,55.3223334298,1982448.0
NOUVELLE-AQUITAINE,GIRONDE,33281,MERIGNAC,177.0,2204196.0,9551.0,ificom-2022.xlsx,2022.0,44.8322953289,-0.681733084891,1690527.0
OCCITANIE,PYRENEES-ORIENTALES,66136,PERPIGNAN,136.0,2203538.0,9390.0,ificom-2022.xlsx,2022.0,42.6965954131,2.89936953979,1277040.0
OCCITANIE,PYRENEES-ORIENTALES,66136,PERPIGNAN,136.0,2203538.0,9390.0,ificom-2022.xlsx,2022.0,42.6965954131,2.89936953979,1277040.0
GRAND-EST,MARNE,51454,REIMS,292.0,2203260.0,8888.0,ificom-2022.xlsx,2022.0,49.2514906066,4.0402302322,2595296.0
GRAND-EST,MARNE,51454,REIMS,292.0,2203260.0,8888.0,ificom-2022.xlsx,2022.0,49.2514906066,4.0402302322,2595296.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON,75.0,2201628.0,8423.0,ificom-2022.xlsx,2022.0,48.7804383642,2.26064286011,631725.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON,75.0,2201628.0,8423.0,ificom-2022.xlsx,2022.0,48.7804383642,2.26064286011,631725.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92035,LA GARENNE COLOMBES,194.0,2199215.0,9203.0,ificom-2022.xlsx,2022.0,48.9067577111,2.24464604084,1785382.0
OCCITANIE,HERAULT,34172,MONTPELLIER,481.0,2198533.0,9275.0,ificom-2022.xlsx,2022.0,43.6134409138,3.86851657896,4461275.0
OCCITANIE,HERAULT,34172,MONTPELLIER,481.0,2198533.0,9275.0,ificom-2022.xlsx,2022.0,43.6134409138,3.86851657896,4461275.0
OCCITANIE,HERAULT,34172,MONTPELLIER,481.0,2198533.0,9275.0,ificom-2022.xlsx,2022.0,43.6134409138,3.86851657896,4461275.0
OCCITANIE,HERAULT,34172,MONTPELLIER,481.0,2198533.0,9275.0,ificom-2022.xlsx,2022.0,43.6134409138,3.86851657896,4461275.0
AUVERGNE-RHONE-ALPES,DROME,26198,MONTELIMAR,61.0,2198308.0,9430.0,ificom-2022.xlsx,2022.0,44.5540845734,4.74869387765,575230.0
OCCITANIE,GARD,30189,NIMES,237.0,2192135.0,9472.0,ificom-2022.xlsx,2022.0,43.844938394,4.34806796996,2244864.0
OCCITANIE,GARD,30189,NIMES,237.0,2192135.0,9472.0,ificom-2022.xlsx,2022.0,43.844938394,4.34806796996,2244864.0
OCCITANIE,GARD,30189,NIMES,237.0,2192135.0,9472.0,ificom-2022.xlsx,2022.0,43.844938394,4.34806796996,2244864.0
